iter	Passed	Remaining
145	344	2013
146	349	2029
147	350	2020
148	351	2008
149	352	1997
150	353	1986
151	354	1975
152	354	1964
153	355	1953
154	356	1942
155	357	1932
156	357	1920
157	358	1909
158	363	1923
159	364	1914
160	365	1903
161	365	1892
162	366	1882
163	367	1871
164	367	1861
165	368	1851
166	369	1841
167	369	1831
168	370	1821
169	371	1811
170	371	1803
171	372	1793
172	373	1784
173	376	1788
174	377	1781
175	378	1773
176	379	1764
177	380	1755
178	380	1747
179	381	1738
180	382	1729
181	382	1720
182	383	1712
183	384	1703
184	384	1695
185	385	1686
186	386	1678
187	386	1670
188	387	1663
189	388	1654
190	393	1664
191	393	1657
192	394	1650
193	395	1643
194	396	1635
195	396	1627
196	397	1619
197	398	1612
198	398	1605
199	399	1597
200	400	1590
201	400	1583
202	401	1576
203	402	1569
204	402	1562
205	403	1555
206	408	1565
207	409	1560
208	411	1556
209	412	1549
210	412	1542
211	413	1536
212	413	1529
213	414	1522
214	415	1516
215	415	1509
216	416	1503
217	417	1496
218	418	1492
219	420	1489
220	421	1485
221	422	1479
222	423	1474
223	424	1469
224	425	1465
225	426	1460
226	427	1456
227	428	1450
228	429	1444
229	433	1452
230	434	1447
231	435	1442
232	437	1441
233	439	1438
234	440	1435
235	441	1430
236	443	1428
237	449	1439
238	450	1435
239	453	1434
240	454	1431
241	456	1428
242	457	1426
243	458	1422
244	465	1434
245	466	1430
246	467	1425
247	468	1420
248	469	1415
249	470	1410
250	471	1405
251	472	1401
252	473	1397
253	474	1393
254	483	1413
255	484	1409
256	485	1405
257	486	1400
258	487	1395
259	488	1390
260	489	1385
261	495	1394
262	497	1393
263	498	1388
264	499	1384
265	499	1379
266	501	1375
267	501	1370
268	503	1367
269	503	1362
270	504	1357
271	511	1368
272	512	1364
273	513	1359
274	566	1494
275	568	1490
276	569	1486
277	571	1483
278	574	1484
279	575	1480
280	577	1476
281	578	1472
282	580	1470
283	586	1478
284	587	1474
285	589	1471
286	592	1471
287	593	1467
288	595	1464
289	596	1461
290	599	1459
291	600	1455
292	602	1453
293	604	1450
294	613	1467
295	615	1464
296	617	1462
297	619	1458
298	620	1454
299	621	1450
300	623	1446
301	624	1443
302	625	1439
303	626	1435
304	628	1432
305	630	1430
306	632	1426
307	633	1422
308	639	1429
309	640	1425
310	642	1422
311	644	1421
312	646	1418
313	647	1414
314	648	1411
315	652	1411
316	653	1407
317	654	1403
318	655	1398
319	655	1393
320	657	1391
321	658	1386
322	664	1393
323	665	1388
324	666	1384
325	667	1379
326	668	1375
327	694	1423
328	696	1419
329	697	1415
330	698	1411
331	699	1407
332	700	1403
333	701	1398
334	701	1393
335	702	1388
336	703	1384
337	704	1379
338	705	1375
339	711	1381
340	712	1377
341	713	1372
342	714	1368
343	715	1364
344	717	1362
345	718	1358
346	719	1353
347	720	1349
348	721	1345
349	725	1347
350	726	1343
351	727	1339
352	728	1335
353	729	1330
354	729	1326
355	730	1321
356	731	1316
357	731	1312
358	732	1307
359	733	1303
360	733	1298
361	734	1294
362	735	1290
363	736	1286
364	737	1282
365	738	1279
366	739	1275
367	740	1271
368	740	1266
369	741	1262
370	742	1258
371	742	1254
372	743	1249
373	744	1246
374	745	1241
375	745	1237
376	746	1233
377	746	1228
378	750	1229
379	751	1226
380	752	1223
381	754	1220
382	755	1216
383	755	1212
384	756	1208
385	757	1204
386	758	1200
387	758	1196
388	759	1192
389	759	1188
390	760	1184
391	761	1180
392	761	1176
393	765	1177
394	766	1174
395	767	1170
396	767	1166
397	768	1162
398	769	1158
399	769	1154
400	770	1150
401	770	1146
402	771	1142
403	772	1138
404	772	1135
405	773	1131
406	773	1127
407	774	1123
408	775	1120
409	775	1116
410	776	1112
411	777	1108
412	780	1108
413	781	1106
414	782	1102
415	782	1098
416	783	1095
417	784	1091
418	784	1088
419	785	1084
420	785	1080
421	786	1077
422	787	1073
423	787	1070
424	788	1066
425	789	1063
426	789	1060
427	790	1056
428	791	1053
429	791	1049
430	799	1055
431	800	1052
432	800	1048
433	801	1045
434	802	1042
435	804	1040
436	805	1037
437	806	1034
438	807	1031
439	807	1027
440	808	1025
441	810	1022
442	810	1019
443	811	1016
444	812	1012
445	812	1009
446	813	1006
447	814	1003
448	814	1000
449	815	996
450	816	993
451	816	990
452	817	987
453	818	983
454	818	980
455	819	977
